idProd,nameProd,subCat,PCategory,SectionProduc,General
A170049071044010,REFRIGERADORA INDURAMA RI- 485 QUA METAL NOF S01 370 LT,REFRIGERADORA 300 A 399 LITROS,REFRIGERADORES & NEVERAS,GAMA  BLANCA,ELECTRO
A171049071044010,REFRIGERADORA INDURAMA RI- 580 MF QUA METAL NOF S01 381 LT,REFRIGERADORA 300 A 399 LITROS,REFRIGERADORES & NEVERAS,GAMA  BLANCA,ELECTRO
A172049071044010,REFRIGERADORA INDURAMA RI- 480 MF QUA METAL NOF S01 370LT,REFRIGERADORA 300 A 399 LITROS,REFRIGERADORES & NEVERAS,GAMA  BLANCA,ELECTRO
A173049071044010,REFRIGERADORA INDURAMA RI- 475 MF QZ CROMA NOF S01 370LT,REFRIGERADORA 300 A 399 LITROS,REFRIGERADORES & NEVERAS,GAMA  BLANCA,ELECTRO
A174059021194010,SANDUCHERA TIPO GRILL MB-S01 BELIA 2 REBANADAS BLANCO,SANDUCHERAS Y WAFLERAS,COCINA,PEQUEÑO  APARATO,ELECTRO
A175059021134010,NUTRI BLENDER BL218 WHITELINE 500ML NEGRO,LICUADORAS,COCINA,PEQUEÑO  APARATO,ELECTRO
A176059021184010,TRITURADOR DE ALIMENTOS AMG-B1300 WHITELINE 2L ROJO,PICATODO Y PROCESADOR,COCINA,PEQUEÑO  APARATO,ELECTRO
A177059021154010,AIR FRYER 3.5L DH 108A WHITELINE NEGRO,OLLA FREIDORA,COCINA,PEQUEÑO  APARATO,ELECTRO
A179059021194010,SANDUCHERA 3 EN 1 TTSW 05 WHITELINE 2 REBANADAS NEGRO,SANDUCHERAS Y WAFLERAS,COCINA,PEQUEÑO  APARATO,ELECTRO
A170050022054010,HERVIDOR DE AGUA S1812 WHITELINE 1.8L PLATEADO,CAFETERAS,COCINA,PEQUEÑO  APARATO,ELECTRO
A172050022034010,BATIDORA DE INMERSION HB2002P WHITELINE 400W NEGRO,BATIDORA DE MANO,COCINA,PEQUEÑO  APARATO,ELECTRO
A173050022134010,YOGURT MAKER SNJ-159A WHITELINE 1.6L PLATEADO,LICUADORAS,COCINA,PEQUEÑO  APARATO,ELECTRO
A174050022194010,SANDUCHERA PRIMA 2 PANES 760W ANTIADERENTE,SANDUCHERAS Y WAFLERAS,COCINA,PEQUEÑO  APARATO,ELECTRO
A175050022194010,SANDUCHERA PRIMA 4 PANES 1200W ANTIADERENTE,SANDUCHERAS Y WAFLERAS,COCINA,PEQUEÑO  APARATO,ELECTRO
A176050022134010,LICUADORA 2 VEL 1.5L NEGRO SILV 600WT,LICUADORAS,COCINA,PEQUEÑO  APARATO,ELECTRO
A177040072024010,MINIBAR STARSONIC SILVER 5.1,FRIGOBAR,REFRIGERADORES & NEVERAS,GAMA  BLANCA,ELECTRO
A178040072024010,MINIBAR STARSONIC NEGRO  4.0,FRIGOBAR,REFRIGERADORES & NEVERAS,GAMA  BLANCA,ELECTRO
A178041082034010,LAVADORA CARGA SUPERIOR ESSENTIAL CARE AGITADOR 17KG BLANCO ELECTROLUX,AUTOMATICA 31 LBS EN ADELANTE,LAVADORAS,GAMA  BLANCA,ELECTRO
A179041052044010,ENCIMERA EMPOTRABLE GAS 5 QUEMADORES ELECTROLUX TRIPLE LLAMA 52CM INOX,PLACAS A GAS,EMPOTRABLES,GAMA  BLANCA,ELECTRO
A170042072054010,REFRIGERADOR NO FROST BOTTOM FREEZER ELECTROLUX INVERTER+IA 400LITROS SILVER,REFRIGERADORA 400 A MAS LITROS,REFRIGERADORES & NEVERAS,GAMA  BLANCA,ELECTRO
A171052022154010,FREIDORA  EFFICIENT 4L ROJO  ELECTROLUX,OLLA FREIDORA,COCINA,PEQUEÑO  APARATO,ELECTRO
A172042072054010,REFRIGERADOR NO FROST TOP MOUNT ELECTROLUX INVERTER 431LITROS SILVER,REFRIGERADORA 400 A MAS LITROS,REFRIGERADORES & NEVERAS,GAMA  BLANCA,ELECTRO
A174052022124010,TOSTADORA  EFFICIENT 800W NEGRO  ELECTROLUX,HORNOS TOSTADORES,COCINA,PEQUEÑO  APARATO,ELECTRO
A175042042024010,COCINA FS DOBLE HORNO DUAL 4 QUEMADORES ELECTROLUX TRIPLE LLAMA 56CM S,A GAS,COCINAS & COCINETAS,GAMA  BLANCA,ELECTRO
A176042072064010,VINERA CON COMPRESOR ELECTROLUX 24 BOTELLAS NEGRO,VINERAS,REFRIGERADORES & NEVERAS,GAMA  BLANCA,ELECTRO
A177052022034010,BATIDORA 2 EN 1  EFFICIENT 300W BLANCO ELECTROLUX,BATIDORA DE MANO,COCINA,PEQUEÑO  APARATO,ELECTRO
A178042082034010,LAVADORA CARGA SUPERIOR PERFECT CARE IMPELLER 21KG SILVER ELECTROLUX,AUTOMATICA 31 LBS EN ADELANTE,LAVADORAS,GAMA  BLANCA,ELECTRO
A179052022114010,MICROONDAS FREESTANDING ELÉCTRICO  ELECTROLUX  25LT S,HORNOS MICROONDAS,COCINA,PEQUEÑO  APARATO,ELECTRO
A170043052044010,ENCIMERA EMPOTRABLE GAS 5 QUEMADORES ELECTROLUX TRIPLE LLAMA 75CM VN,PLACAS A GAS,EMPOTRABLES,GAMA  BLANCA,ELECTRO
A171043052034010,HORNO EMPOTRABLE ELÉCTRICO  ELECTROLUX GRILL 52/60LT/CM B,HORNOS,EMPOTRABLES,GAMA  BLANCA,ELECTRO
A172043072054010,REFRIGERADOR NO FROST TOP MOUNT ELECTROLUX INVERTER 474LITROS SILVER,REFRIGERADORA 400 A MAS LITROS,REFRIGERADORES & NEVERAS,GAMA  BLANCA,ELECTRO
A173053022144010,OLLA ARROCERA ARROCERA EFFICIENT 1.3L BLANCO  ELECTROLUX,OLLA ARROCERA,COCINA,PEQUEÑO  APARATO,ELECTRO
A175043052044010,ENCIMERA EMPOTRABLE GAS 4 QUEMADORES ELECTROLUX TRIPLE LLAMA 60CM VN,PLACAS A GAS,EMPOTRABLES,GAMA  BLANCA,ELECTRO
A176043052034010,HORNO EMPOTRABLE ELÉCTRICO  ELECTROLUX CONVECCIÓN 50/60LT/CM B,HORNOS,EMPOTRABLES,GAMA  BLANCA,ELECTRO
A177043072064010,VINERA CON COMPRESOR ELECTROLUX X  34 BOTELLAS NEGRO,VINERAS,REFRIGERADORES & NEVERAS,GAMA  BLANCA,ELECTRO
A178053022034010,BATIDORA DE 750W EXPERIENCE GREY CON BOL DE ACERO INOXIDABLE 5L - EKM40,BATIDORA DE MANO,COCINA,PEQUEÑO  APARATO,ELECTRO
A179043062034010,VITRINA INDURAMA VFV 400 GRIS SZ,VERTICAL,CONGELADORES,GAMA  BLANCA,ELECTRO
A170044072044010,REFRIGERADOR DUAL BLANCO BESPOKE 323 LTS SAMSUNG,REFRIGERADORA 300 A 399 LITROS,REFRIGERADORES & NEVERAS,GAMA  BLANCA,ELECTRO
A171044072044010,REFRIGERADOR  DUAL ROSADO BESPOKE 323 LTS CONG. SAMSUNG,REFRIGERADORA 300 A 399 LITROS,REFRIGERADORES & NEVERAS,GAMA  BLANCA,ELECTRO
A172044072054010,REFRIGERADOR FRENCH DOOR BESPOKE 496 LT SAMSUNG,REFRIGERADORA 400 A MAS LITROS,REFRIGERADORES & NEVERAS,GAMA  BLANCA,ELECTRO
A173044082034010,LAVADORA SAMSUNG CARGA FRONTAL 20 KG BLANCA,AUTOMATICA 31 LBS EN ADELANTE,LAVADORAS,GAMA  BLANCA,ELECTRO
A174044092024010,SECADORA A GAS SAMSUNG CARGA FRONTAL 22 KG  BLANCA ENERGY STAR,A GAS,SECADORAS,GAMA  BLANCA,ELECTRO
A176044092034010,SECADORA ELECTRICA SAMSUNG 19 KG GRIS CARGA FRONTAL SENSOR DRY,ELECTRICAS,SECADORAS,GAMA  BLANCA,ELECTRO
A177044072054010,REFRIGERADORA SAMSUNG S&S INVERTER 799 LTS. 28 PIES POWER COOL SILVER,REFRIGERADORA 400 A MAS LITROS,REFRIGERADORES & NEVERAS,GAMA  BLANCA,ELECTRO
A178044092034010,SECADORA ELECTRICA SAMSUNG CARGA FRONTAL 22 KG  BLANCA ENERGY STAR,ELECTRICAS,SECADORAS,GAMA  BLANCA,ELECTRO
A179044082034010,LAVADORA SAMSUNG CARGA FRONTAL 24 KG CON AI WASH SUPER SPEED Y SMART THINGS BLACK,AUTOMATICA 31 LBS EN ADELANTE,LAVADORAS,GAMA  BLANCA,ELECTRO
A170045092024010,SECADORA A GAS SAMSUNG CARGA FRONTAL 24 KG  NEGRA SMART MONITOR,A GAS,SECADORAS,GAMA  BLANCA,ELECTRO
A171045082034010,LAVADORA SAMSUNG CARGA SUPERIOR 22 KG SILVER VRT PLUS,AUTOMATICA 31 LBS EN ADELANTE,LAVADORAS,GAMA  BLANCA,ELECTRO
A172045092024010,SECADORA A GAS SAMSUNG CARGA FRONTAL 22 KG  SILVER ENERGY STAR,A GAS,SECADORAS,GAMA  BLANCA,ELECTRO
A173045092034010,SECADORA ELECTRICA SAMSUNG 20 KG BLANCA SMART CARE,ELECTRICAS,SECADORAS,GAMA  BLANCA,ELECTRO
A174045072054010,REFRIGERADORA SAMSUNG S&S INVERTER  622 LTS. 22 PIES POWER COOL/POWER FREEZE INOX,REFRIGERADORA 400 A MAS LITROS,REFRIGERADORES & NEVERAS,GAMA  BLANCA,ELECTRO
A175045092034010,SECADORA ELECTRICA SAMSUNG 17 KG BLANCA CARGA FRONTAL SENSOR DRY,ELECTRICAS,SECADORAS,GAMA  BLANCA,ELECTRO
A177045092034010,SECADORA ELECTRICA SAMSUNG CARGA FRONTAL 24 KG  NEGRA SMART MONITOR,ELECTRICAS,SECADORAS,GAMA  BLANCA,ELECTRO
A178045092024010,SECADORA A GAS SAMSUNG 17 KG BLANCA CARGA FRONTAL SENSOR DRY,A GAS,SECADORAS,GAMA  BLANCA,ELECTRO
A179045072044010,REFRIGERADORA SAMSUNG TOP MOUNT 11PIES 308 LTRS ALL AROUND COOLING INOX,REFRIGERADORA 300 A 399 LITROS,REFRIGERADORES & NEVERAS,GAMA  BLANCA,ELECTRO
A175048092024010,SECADORA A GAS SAMSUNG 19 KG GRIS - CARGA FRONTAL - SENSOR DRY,A GAS,SECADORAS,GAMA  BLANCA,ELECTRO
A176048072054010,REFRIGERADORA SAMSUNG S&S INVERTER  781 LT. DISP. AGUA - HIELO POWER COOL NEGRA,REFRIGERADORA 400 A MAS LITROS,REFRIGERADORES & NEVERAS,GAMA  BLANCA,ELECTRO
A172051023194010,SANDUCHERA 4 PANES 1000W IMACO,SANDUCHERAS Y WAFLERAS,COCINA,PEQUEÑO  APARATO,ELECTRO
