id,name,type,status,commerce,size,region,city,state,tamanio
1649,POLIP. DURAN - PLAZA TIA.,TIENDA,1,POLIPAPEL,97.0,PROV. COSTA,DURAN,GUAYAS,MEDIANO
1650,POLIP. MILAGRO - PLAZA TIA,TIENDA,1,POLIPAPEL,76.34,PROV. COSTA,MILAGRO,GUAYAS,PEQUEÑO
1651,OFICINA ADMINISTRATIVA,BODEGA,1,BODEGA,0.0,GUAYAQUIL,GUAYAQUIL,GUAYAS,PEQUEÑO
1652,AVERIADOS EN GARANTIA,OTROS,1,OTROS,0.0,GUAYAQUIL,GUAYAQUIL,GUAYAS,PEQUEÑO
1653,LOJA - PLAZA DEL VALLE,TIENDA,1,PYCCA,1417.0,PROV. COSTA,LOJA,LOJA,GRANDE
1654,BODEGA - PET STATION H,BODEGA,0,BODEGA,0.0,GUAYAQUIL,GUAYAQUIL,GUAYAS,PEQUEÑO
1655,P.S. LA PIAZZA - C. CELESTE,TIENDA,1,PET STATION,198.41,GUAYAQUIL,SAMBORONDON,GUAYAS,MEDIANO
1656,DURAN - PLAZA TIA,TIENDA,1,PYCCA,1120.74,PROV. COSTA,DURAN,GUAYAS,GRANDE
1657,P.S. URDESA,TIENDA,1,PET STATION,78.05,GUAYAQUIL,GUAYAQUIL,GUAYAS,PEQUEÑO
1658,P.S. LA PIAZZA - CEIBOS,TIENDA,1,PET STATION,117.89,GUAYAQUIL,GUAYAQUIL,GUAYAS,MEDIANO
1659,POLIP. PURUHA SHOPPING,TIENDA,1,POLIPAPEL,86.95,QUITO,QUITO,PICHINCHA,PEQUEÑO
1660,P.S. ROTONDA,TIENDA,1,PET STATION,88.47,GUAYAQUIL,GUAYAQUIL,GUAYAS,PEQUEÑO
1661,POLIP. BABAHOYO - P. SHOPPING,TIENDA,1,POLIPAPEL,90.0,PROV. COSTA,BABAHOYO,LOS RIOS,PEQUEÑO
1662,POLIP. QUEVEDO - LA QUADRA,TIENDA,1,POLIPAPEL,90.0,PROV. COSTA,QUEVEDO,LOS RIOS,PEQUEÑO
1663,ON LINE - PETSTATION,TIENDA,1,PET STATION,0.0,ON LINE,GUAYAQUIL,GUAYAS,PEQUEÑO
1664,POLIP. AMBATO - MULTIPLAZA,TIENDA,1,POLIPAPEL,107.66,PROV. SIERRA,AMBATO,TUNGURAHUA,MEDIANO
1665,OFICINA SISTEMAS,OTROS,1,OTROS,0.0,GUAYAQUIL,GUAYAQUIL,GUAYAS,PEQUEÑO
1666,P.S. V COSTA KM 14,TIENDA,1,PET STATION,157.02,GUAYAQUIL,GUAYAQUIL,GUAYAS,MEDIANO
1667,P.S. 6 DE DICIEMBRE,TIENDA,1,PET STATION,140.3,QUITO,QUITO,PICHINCHA,MEDIANO
1668,P.S. PASEO SAN FRANCISCO,TIENDA,1,PET STATION,235.69,QUITO,QUITO,PICHINCHA,MEDIANO
1669,P.S. RC - EL DORADO,TIENDA,1,PET STATION,233.55,GUAYAQUIL,DAULE,GUAYAS,MEDIANO
1670,P.S. QUICENTRO NORTE,TIENDA,1,PET STATION,159.17,QUITO,QUITO,PICHINCHA,MEDIANO
1671,P.S. QUEVEDO - LA QUADRA,TIENDA,0,PET STATION,106.67,PROV. COSTA,QUEVEDO,LOS RIOS,MEDIANO
1672,POLIP. PLAZA TIA - CENTRAL,TIENDA,1,POLIPAPEL,126.47,GUAYAQUIL,DAULE,GUAYAS,MEDIANO
1673,POLIP. PLAYAS - P. SHOPPING,TIENDA,1,POLIPAPEL,36.58,PROV. COSTA,PLAYAS,GUAYAS,PEQUEÑO
1674,MANTA - P. SHOPPING,TIENDA,1,PYCCA,1235.18,PROV. COSTA,MANTA,MANABI,GRANDE
1678,P.S. GONZALEZ SUAREZ,TIENDA,1,PET STATION,142.06,QUITO,QUITO,PICHINCHA,MEDIANO
1679,P.S. MODERNA PLAZA,TIENDA,1,PET STATION,172.14,GUAYAQUIL,SAMBORONDON,GUAYAS,MEDIANO
1680,BODEGA - PET STATION UIO H,BODEGA,1,BODEGA,0.0,QUITO,QUITO,PICHINCHA,PEQUEÑO
1681,MALL DEL NORTE,TIENDA,1,PYCCA,1032.0,GUAYAQUIL,GUAYAQUIL,GUAYAS,GRANDE
1682,P.S. VILLA CLUB,TIENDA,1,PET STATION,171.85,GUAYAQUIL,DAULE,GUAYAS,MEDIANO
1683,POLIP. PLAZA TIA - LA JOYA,TIENDA,1,POLIPAPEL,108.74,GUAYAQUIL,DAULE,GUAYAS,MEDIANO
1684,P.S. LA PIAZZA-VILLAS DEL REY,TIENDA,1,PET STATION,160.16,GUAYAQUIL,DAULE,GUAYAS,MEDIANO
1685,LA PIAZZA - VILLAS DEL REY,TIENDA,1,PYCCA,1037.38,GUAYAQUIL,DAULE,GUAYAS,GRANDE
